Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22168?e=0|*|||,Construction of a Quadrilateral,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22169?e=1|*|||,Visualising Solid Shapes,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22170?e=2|*|||,Factorization of Algebraic expression,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22171?e=3|*|||,Rational and irrational numbers,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22173?e=4|*|||,3-Dimensional Shapes,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22176?e=5|*|||,Introduction to Exponents,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22177?e=6|*|||,Sum of a polygon,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22179?e=7|*|||,Linear equation,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22180?e=8|*|||,Rational numbers between two rational numbers,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22181?e=9|*|||,Find cube root of large numbers,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22183?e=10|*|||,Counting of diagonals,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22186?e=11|*|||,Questions for Polygon,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22187?e=12|*|||,Concept of rational numbers and its properties,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22188?e=13|*|||,Types and features of Qadrilateral,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22189?e=14|*|||,Rational Numbers,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0397e96b68c19119c209fbab35d384362fbe822c?e=15|*|||,Random Sampling and Estimation,"In this session, you will learn how to use results from a random sample to estimate characteristics of an entire…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0f6e422a0befe3701d7ce7847bec9b023dc0c537?e=16|*|||,Algebraic Structure,"In Session 8, we concluded our study of functions by looking at cyclic and inverse functions. You learned that cyclic…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/10c2f27adf27fa411b96bab2ea37ea4e329e3147?e=17|*|||,"Min, Max and the Five-Number Summary",Sessions 2 and 3 explored different ways to organize data in order to draw out patterns in the variation. In…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/110604da4a9884b867f6bd0f674640729e74aa4c?e=18|*|||,Algebraic Thinking,"In this initial session, we will explore algebraic thinking first by developing a definition of what it means to think…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/15dfb162135b333aa83bfe324505ef133a30e346?e=19|*|||,Variables and Patterns of Change,Part 1: Translating Words Into Symbols Translating words into symbols is equivalent to modeling a situation using an equation and…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/18228aa716f0119333856024697344be61c26e94?e=0|*|||,Data Organization and Representation,"In the previous session, you explored measurement and variation. You learned that there is almost always variation in statistical data,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1a47f436610cd68ce7a3d3d8a48818d066b08880?e=1|*|||,A Closer Look (video),"A Closer Look is a helpful video to view first, as it provides the basis for further study. This video features:…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1d32c960526cc86716bab9a8a29f212c4e14f69b?e=2|*|||,"Classroom Case Studies, 6-8",In This Session: Part A: Observing a Case Study Part B: Reasoning About Number and Operations Part C: Problems…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/235e76efc3b955e2033d68e676b302234bed93c0?e=3|*|||,"Classroom Case Studies, K-2","In the previous sessions, you explored number and operations as a mathematics learner, both to analyze your own approach to…",Annenberg Learner,English
